Kiosk ID,Kiosk Name,Go Live Date,Region ,Status,Latitude,Longitude
4491,Main & Winston,12/11/2019,DTLA,Active,34.047440,-118.247940
4492,Westwood/Rancho Park E Line Station,5/6/2021,Westside,Active,34.036869,-118.425499
4493,Sunset Triangle Plaza,12/18/2019,DTLA,Active,34.090279,-118.277191
4494,Laveta Terrace & Sunset,1/8/2020,DTLA,Active,34.075981,-118.256012
4496,Concert Park,2/27/2020,Westside,Inactive,33.972980,-118.423943
4497,Riverside & Laurel Canyon,4/14/2020,North Hollywood,Inactive,34.157490,-118.395760
4498,Vineland & Oxnard,4/14/2020,North Hollywood,Inactive,34.179890,-118.370422
4499,Victory & Colfax,3/5/2020,North Hollywood,Inactive,34.186569,-118.388008
4500,Burbank & Cahuenga,3/5/2020,North Hollywood,Inactive,34.172100,-118.361816
4502,North Hollywood Plaza,4/23/2020,North Hollywood,Inactive,34.165520,-118.375153
4503,Stanford & Washington,2/27/2020,Westside,Inactive,33.989700,-118.448883
4504,Vista Del Mar & Culver,2/18/2020,Westside,Inactive,33.958790,-118.448280
4505,Glen Alla Park,2/13/2020,Westside,Inactive,33.984852,-118.431641
4508,Ciclavia South Central Hub,2/23/2020,DTLA,Inactive,34.017941,-118.255417
4509,Western & Hollywood,8/5/2020,DTLA,Active,34.101639,-118.309174
4510,Mohawk Bend,8/13/2020,DTLA,Active,34.077351,-118.264549
4511,Union Station East Portal,10/8/2020,DTLA,Active,34.056278,-118.231773
4512,Figueroa & 11th,5/12/2020,DTLA,Active,34.043812,-118.264969
4513,Edgemont & Melrose,9/24/2020,DTLA,Inactive,34.083710,-118.296021
4515,Mississippi & Sawtelle,3/16/2022,Westside,Active,34.039742,-118.442268
4516,7th & Hill,7/16/2020,DTLA,Inactive,34.045849,-118.254402
4517,Highland & Hollywood,10/6/2021,DTLA,Active,34.101959,-118.338852
4518,Normandie & 8th,7/21/2020,DTLA,Active,34.057968,-118.299751
4521,Inglewood & Ballona,3/4/2021,Westside,Active,33.990318,-118.412048
4523,Western & 3rd,4/22/2020,DTLA,Active,34.068748,-118.309280
4524,Wilshire & Normandie,4/17/2020,DTLA,Active,34.061630,-118.301193
4525,Hawthorn & Orange,9/29/2021,DTLA,Active,34.100380,-118.341797
4526,Franklin & Fuller,9/28/2021,DTLA,Active,34.103378,-118.349190
4527,McCadden & Hollywood,10/5/2021,DTLA,Active,34.102001,-118.337410
4528,Glendon & Kinross,12/15/2021,DTLA,Active,34.060970,-118.444366
4529,Whitley & Hollywood,9/30/2021,DTLA,Active,34.101860,-118.333290
4534,Ivar & Hollywood,10/5/2021,DTLA,Active,34.101860,-118.328110
